Jojen
Samwell
Marillion
Roslin
Loras
Rickard
Gregor
Viserys
Oberyn
Ellaria
Aegon
Chataya
Illyrio
Amory
Walder
Rhaegar
Lysa
Renly
Shireen
Joffrey
Lothar
Catelyn
Tommen
Jon
Arya
Kraznys
Mace
Thoros
Karl
Podrick
Shae
Ygritte
Roose
Rattleshirt
Orell
Ramsay
Eddison
Anguy
Myrcella
Belwas
Stannis
Bowen
Tywin
Alliser
Aerys
Meera
Jaime
Edmure
Missandei
Walton
Sandor
Margaery
Irri
Val
Styr
Craster
Cressen
Dalla
Balon
Olenna
Daario
Robb
Rickon
Robert Arryn
Bronn
Gendry
Grenn
Kevan
Jorah
Elia
Aemon
Janos
Sansa
Jeyne
Rakharo
Mance
Salladhor
Barristan
Hoster
Lancel
Daenerys
Ilyn
Robert
Davos
Gilly
Brynden
Tyrion
Meryn
Brienne
Bran
Petyr
Worm
Qyburn
Qhorin
Melisandre
Luwin
Nan
Jon Arryn
Doran
Pycelle
Cersei
Eddard
Theon
Drogo
Varys
Beric
Hodor
